Region 23 Avg IOU: 0.061905, Class: 0.320765, Obj: 0.517143, No Obj: 0.494428, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.116725, Class: 0.285229, Obj: 0.487229, No Obj: 0.495721, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.208948, Class: 0.507881, Obj: 0.474563, No Obj: 0.493558, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.140971, Class: 0.484260, Obj: 0.531532, No Obj: 0.495209, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.075672, Class: 0.592674, Obj: 0.434435, No Obj: 0.494925, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.129045, Class: 0.458888, Obj: 0.415638, No Obj: 0.494746, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.134033, Class: 0.603730, Obj: 0.527434, No Obj: 0.494762, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.146166, Class: 0.419540, Obj: 0.429253, No Obj: 0.495959, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.207961, Class: 0.679880, Obj: 0.451754, No Obj: 0.492923, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.240391, Class: 0.367280, Obj: 0.326310, No Obj: 0.495304, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.168900, Class: 0.506642, Obj: 0.466774, No Obj: 0.493839, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.183670, Class: 0.460973, Obj: 0.482245, No Obj: 0.494760, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.140597, Class: 0.414773, Obj: 0.512063, No Obj: 0.495667, .5R: 0.000000, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.159177, Class: 0.482892, Obj: 0.423933, No Obj: 0.496511, .5R: 0.000000, .75R: 0.000000,  count: 5
Region 23 Avg IOU: 0.130825, Class: 0.646326, Obj: 0.225493, No Obj: 0.493632, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.201536, Class: 0.444711, Obj: 0.507115, No Obj: 0.494334, .5R: 0.142857, .75R: 0.000000,  count: 7
Region 23 Avg IOU: 0.227524, Class: 0.370465, Obj: 0.299485, No Obj: 0.494226, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.072368, Class: 0.539793, Obj: 0.554546, No Obj: 0.495168, .5R: 0.000000, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.259835, Class: 0.577100, Obj: 0.341736, No Obj: 0.494390, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 23 Avg IOU: 0.278719, Class: 0.352382, Obj: 0.441899, No Obj: 0.494845, .5R: 0.166667, .75R: 0.000000,  count: 6
Region 23 Avg IOU: 0.144433, Class: 0.451689, Obj: 0.450423, No Obj: 0.494433, .5R: 0.000000, .75R: 0.000000,  count: 6
