77: 349.546448, 353.299774 avg, 0.000000 rate, 0.590254 seconds, 4928 images
78: 348.163300, 352.786133 avg, 0.000000 rate, 0.625643 seconds, 4992 images
79: 346.346741, 352.142181 avg, 0.000000 rate, 0.499254 seconds, 5056 images
80: 343.454681, 351.273438 avg, 0.000000 rate, 0.516364 seconds, 5120 images
81: 341.947784, 350.340881 avg, 0.000000 rate, 0.483521 seconds, 5184 images
82: 341.760101, 349.482788 avg, 0.000000 rate, 0.609334 seconds, 5248 images
83: 341.249878, 348.659485 avg, 0.000000 rate, 0.598449 seconds, 5312 images
84: 340.731628, 347.866699 avg, 0.000000 rate, 0.517274 seconds, 5376 images
85: 337.874969, 346.867523 avg, 0.000000 rate, 0.625880 seconds, 5440 images
86: 338.311584, 346.011932 avg, 0.000000 rate, 0.508638 seconds, 5504 images
87: 335.275696, 344.938293 avg, 0.000000 rate, 0.461213 seconds, 5568 images
88: 332.500183, 343.694489 avg, 0.000000 rate, 0.609367 seconds, 5632 images
89: 331.799072, 342.504944 avg, 0.000000 rate, 0.597094 seconds, 5696 images
90: 330.034424, 341.257904 avg, 0.000000 rate, 0.480969 seconds, 5760 images
91: 329.727386, 340.104858 avg, 0.000000 rate, 0.616763 seconds, 5824 images
92: 326.097046, 338.704071 avg, 0.000000 rate, 0.576456 seconds, 5888 images
93: 323.814392, 337.215088 avg, 0.000000 rate, 0.605066 seconds, 5952 images
94: 323.295410, 335.823120 avg, 0.000000 rate, 0.455234 seconds, 6016 images
95: 320.393250, 334.280121 avg, 0.000000 rate, 0.532517 seconds, 6080 images
96: 317.821075, 332.634216 avg, 0.000000 rate, 0.540514 seconds, 6144 images
97: 316.774750, 331.048279 avg, 0.000000 rate, 0.520849 seconds, 6208 images
98: 313.567932, 329.300232 avg, 0.000000 rate, 0.628698 seconds, 6272 images
99: 311.691101, 327.539307 avg, 0.000000 rate, 0.626593 seconds, 6336 images
100: 311.132935, 325.898682 avg, 0.000000 rate, 0.461462 seconds, 6400 images
101: 306.629944, 323.971802 avg, 0.000000 rate, 0.587528 seconds, 6464 images
102: 304.992004, 322.073822 avg, 0.000000 rate, 0.589332 seconds, 6528 images
103: 301.854736, 320.051910 avg, 0.000000 rate, 0.459228 seconds, 6592 images
104: 298.823456, 317.929077 avg, 0.000000 rate, 0.479398 seconds, 6656 images
105: 295.633423, 315.699524 avg, 0.000000 rate, 0.589791 seconds, 6720 images
106: 292.941010, 313.423676 avg, 0.000000 rate, 0.596445 seconds, 6784 images
107: 289.366974, 311.018005 avg, 0.000000 rate, 0.626333 seconds, 6848 images
108: 286.994110, 308.615631 avg, 0.000000 rate, 0.530942 seconds, 6912 images
109: 283.690308, 306.123108 avg, 0.000000 rate, 0.532174 seconds, 6976 images
110: 281.011414, 303.611938 avg, 0.000000 rate, 0.473623 seconds, 7040 images
111: 274.583435, 300.709076 avg, 0.000000 rate, 0.616382 seconds, 7104 images
112: 273.623169, 298.000488 avg, 0.000000 rate, 0.621424 seconds, 7168 images
113: 268.777924, 295.078247 avg, 0.000000 rate, 0.618137 seconds, 7232 images
114: 263.945374, 291.964966 avg, 0.000000 rate, 0.473902 seconds, 7296 images
115: 261.383667, 288.906830 avg, 0.000000 rate, 0.470127 seconds, 7360 images
116: 258.185883, 285.834747 avg, 0.000000 rate, 0.630792 seconds, 7424 images
117: 253.577759, 282.609039 avg, 0.000000 rate, 0.523785 seconds, 7488 images
118: 248.567520, 279.204895 avg, 0.000000 rate, 0.459203 seconds, 7552 images
119: 245.440491, 275.828461 avg, 0.000000 rate, 0.507201 seconds, 7616 images
